"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USC00044701","LAKEPORT, CA US","1970-04-30",,,"0.00","0.0","0.0",,"73","38","72"
"USC00044701","LAKEPORT, CA US","1970-05-01",,,"0.00","0.0","0.0",,"82","41","80"
"USC00044701","LAKEPORT, CA US","1970-05-02",,,"0.00","0.0","0.0",,"87","42","86"
"USC00044701","LAKEPORT, CA US","1970-05-03",,,"0.00","0.0","0.0",,"88","43","85"
"USC00044701","LAKEPORT, CA US","1970-05-04",,,"0.00","0.0","0.0",,"85","44","82"
"USC00044701","LAKEPORT, CA US","1970-05-05",,,"0.00","0.0","0.0",,"82","38","70"
"USC00044701","LAKEPORT, CA US","1970-05-06",,,"0.00","0.0","0.0",,"70","43","65"
"USC00044701","LAKEPORT, CA US","1970-05-07",,,"0.00","0.0","0.0",,"71","35","68"
"USC00044701","LAKEPORT, CA US","1970-05-08",,,"0.00","0.0","0.0",,"68","48","60"
"USC00044701","LAKEPORT, CA US","1970-05-09",,,"0.00","0.0","0.0",,"68","43","65"
"USC00044701","LAKEPORT, CA US","1970-05-10",,,"0.00","0.0","0.0",,"65","39","64"
"USC00044701","LAKEPORT, CA US","1970-05-11",,,"0.07","0.0","0.0",,"64","39","47"
"USC00044701","LAKEPORT, CA US","1970-05-12",,,"0.00","0.0","0.0",,"61","31","57"
"USC00044701","LAKEPORT, CA US","1970-05-13",,,"0.00","0.0","0.0",,"70","49","69"
"USC00044701","LAKEPORT, CA US","1970-05-14",,,"0.00","0.0","0.0",,"88","42","87"
"USC00044701","LAKEPORT, CA US","1970-05-15",,,"0.00","0.0","0.0",,"93","47","90"
"USC00044701","LAKEPORT, CA US","1970-05-16",,,"0.00","0.0","0.0",,"96","50","95"
"USC00044701","LAKEPORT, CA US","1970-05-17",,,"0.00","0.0","0.0",,"95","47","87"
"USC00044701","LAKEPORT, CA US","1970-05-18",,,"0.00","0.0","0.0",,"87","47","82"
"USC00044701","LAKEPORT, CA US","1970-05-19",,,"0.00","0.0","0.0",,"82","45","69"
"USC00044701","LAKEPORT, CA US","1970-05-20",,,"0.00","0.0","0.0",,"78","39","77"
"USC00044701","LAKEPORT, CA US","1970-05-21",,,"0.00","0.0","0.0",,"89","42","87"
"USC00044701","LAKEPORT, CA US","1970-05-22",,,"0.00","0.0","0.0",,"88","48","85"
"USC00044701","LAKEPORT, CA US","1970-05-23",,,"0.00","0.0","0.0",,"92","45","90"
"USC00044701","LAKEPORT, CA US","1970-05-24",,,"0.00","0.0","0.0",,"95","48","93"
"USC00044701","LAKEPORT, CA US","1970-05-25",,,"0.00","0.0","0.0",,"95","49","85"
"USC00044701","LAKEPORT, CA US","1970-05-26",,,"0.00","0.0","0.0",,"86","50","80"
"USC00044701","LAKEPORT, CA US","1970-05-27",,,"0.00","0.0","0.0",,"83","49","80"
"USC00044701","LAKEPORT, CA US","1970-05-28",,,"0.00","0.0","0.0",,"84","43","81"
"USC00044701","LAKEPORT, CA US","1970-05-29",,,"0.00","0.0","0.0",,"87","43","84"
"USC00044701","LAKEPORT, CA US","1970-05-30",,,"0.00","0.0","0.0",,"91","46","89"
"USC00044701","LAKEPORT, CA US","1970-05-31",,,"0.00","0.0","0.0",,"95","50","92"
"USC00044701","LAKEPORT, CA US","1970-06-01",,,"0.00","0.0","0.0",,"99","51","97"
"USC00044701","LAKEPORT, CA US","1970-06-02",,,"0.00","0.0","0.0",,"102","53","97"
